X,Y,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.7985084015615,-33.3644349173951,"CAMINO RENCA LAMPA & CAMINO AGUAS CLARAS, PUDAHUEL",0,1,0,0,1
-70.7971417459013,-33.3549406297684,"CAMINO LO ECHEVERS & CAMINO PRIVADO, QUILICURA",0,1,0,0,1
-70.7979441451932,-33.5117157976048,"EL CONQUISTADOR & SENADORA MARIA DE LA CRUZ, MAIPU",0,1,0,1,1
-70.7971987324904,-33.5131514434144,"EL CONQUISTADOR & PINTOR HORACIO GARCIA, MAIPU",0,1,0,0,1
-70.7970207635976,-33.5186008279694,"1370 EL CONQUISTADOR, MAIPU",0,1,0,0,1
-70.7950216987131,-33.5536642129436,"18486 CAMINO A MELIPILLA, MAIPU",0,0,1,0,1
-70.7936108534223,-33.5260449281557,"2621 GERMAN GARCES, MAIPU",0,0,0,2,1
-70.7924026408296,-33.508712001748,"JOSE MANUEL BORGONO & ESCUELA DE INFANTERIA, MAIPU",0,0,0,1,1
-70.7918954413523,-33.5248343155823,"NUEVA SAN MARTIN & 4 PONIENTE, MAIPU",0,1,0,0,1
-70.7913892729574,-33.5055072707561,"CAMINO A RINCONADA & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7914372558162,-33.5203680739474,"CAMPANARIO & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7912946955404,-33.5191978105781,"PORTALES & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7907120144067,-33.512343618837,"INCA DE ORO & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7903413788785,-33.5079392221227,"VICARIA & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7880023730073,-33.5423131342217,"2842 RENE OLIVARES BECERRA, MAIPU",0,1,0,0,1
-70.7866283238683,-33.5116450949728,"2025 PANGAL, MAIPU",0,0,0,1,1
-70.7841838973374,-33.5068918206062,"CAMINO A RINCONADA & LAS NACIONES, MAIPU",1,0,0,0,1
-70.7837918584267,-33.5098192734601,"DE LA GLORIETA & JOSE MANUEL BORGONO, MAIPU",0,0,0,1,1
-70.7823851255387,-33.5330786679004,"1969 PRESIDENTE GABRIEL GONZALEZ VIDELA, MAIPU",0,0,1,0,1
-70.7814998571372,-33.5324421213202,"1974 OSCAR BONILLA, MAIPU",0,1,0,0,1
-70.7790860705235,-33.4439565824202,"SAN PABLO & AMERICO VESPUCIO, PUDAHUEL",0,1,0,3,4
-70.779277176386,-33.5085675986978,"CAMINO A RINCONADA & 3 PONIENTE, MAIPU",0,1,0,0,1
-70.7791154144423,-33.5132862973829,"LOS ZARZALES & 3 PONIENTE, MAIPU",0,0,0,1,1
-70.7791955926234,-33.5329712407988,"ELADIO ROJAS & ALFREDO SILVA CARVALLO, MAIPU",0,0,0,0,1
-70.7785357879796,-33.5259918469798,"GERMAN GARCES & 3 PONIENTE, MAIPU",0,0,0,1,1
-70.7780035286487,-33.5089285710316,"CAMINO A RINCONADA & 3 PONIENTE, MAIPU",0,2,1,2,3
-70.7782233568582,-33.5422826550793,"CALETERA CAMINO A MELIPILLA & EGIPTO, MAIPU",1,1,0,0,2
-70.775677808046,-33.506797632712,"EL OLIMPO & MAIPU, MAIPU",0,0,0,1,1
-70.7755787923535,-33.5088010340571,"EL OLIMPO & MEDIALUNA, MAIPU",0,0,0,1,1
-70.775469062926,-33.5129147842605,"EL OLIMPO & GRECIA, MAIPU",0,1,1,2,3
-70.7754423544204,-33.5152959001701,"LAS TINAJAS & EL OLIMPO, MAIPU",0,0,0,1,1
-70.7753922012087,-33.5181102117079,"PORTALES & EL OLIMPO, MAIPU",0,0,0,1,1
-70.7753324977148,-33.5215108237784,"EL OLIMPO & SUR, MAIPU",0,0,1,0,1
-70.7748264017709,-33.5315189440747,"ALFREDO SILVA CARVALLO & 3 PONIENTE, MAIPU",0,0,1,1,1
-70.7744545351613,-33.5396674394298,"CAMINO A MELIPILLA & JACQUES COUSTEAU, MAIPU",0,0,0,1,1
-70.7738353313523,-33.5325521707625,"RENE OLIVARES BECERRA & 3 PONIENTE, MAIPU",1,0,0,0,1
-70.7705467227333,-33.4308042839501,"EL TRANQUE & SANTA MARTA, PUDAHUEL",0,0,0,1,1
-70.7689538257051,-33.4429382500168,"SAN PABLO & SERRANO, PUDAHUEL",0,1,0,0,1
-70.7704485580608,-33.5248813097385,"DEL REY & NUEVA SAN MARTIN, MAIPU",0,0,0,1,1
-70.7683249629499,-33.4400434136258,"SERRANO & MARTINEZ DE ROZAS, PUDAHUEL",0,0,1,0,1
-70.7698596053984,-33.536135072018,"CAMINO A MELIPILLA & 3 PONIENTE, MAIPU",1,1,0,1,1
-70.7678147956604,-33.4371649157538,"9408 CARDENAL JOSE MARIA CARO, PUDAHUEL",0,0,1,1,1
-70.7684679611354,-33.4857536612714,"LAS CAMELIAS & EL ROSAL, MAIPU",0,0,1,1,2
-70.7687367966484,-33.4995022266704,"BLANCO ENCALADA & DE LA VICTORIA, MAIPU",0,0,0,1,1
-70.7687484100151,-33.5021894124348,"O`HIGGINS & DE LA VICTORIA, MAIPU",0,0,0,3,2
-70.7687622911133,-33.5055168393792,"DE LA VICTORIA & LIBERTAD, MAIPU",0,0,0,1,1
-70.7687622940388,-33.5071039987373,"DE LA VICTORIA & MAIPU, MAIPU",0,1,0,0,1
-70.7678437962301,-33.4899920004146,"LA SINFONIA & LA REFORMA, MAIPU",0,0,1,1,2
-70.7664711720233,-33.4329636195342,"SERRANO & SAN FRANCISCO, PUDAHUEL",0,0,0,0,1
-70.7662968773658,-33.445591364522,"ESPARTA & FIDIAS, PUDAHUEL",0,0,1,0,1
-70.7670601371344,-33.4916805240404,"CAMINO LA FARFANA & INGENIERO EDUARDO DOMINGUEZ, MAIPU",0,0,0,1,1
-70.765154550042,-33.4194642928814,"SIN CLASIFICACION & SIN CLASIFICACION, CERRO NAVIA",0,0,2,0,1
-70.765797334195,-33.4538499798442,"SERRANO & LA TRAVESIA, PUDAHUEL",0,0,0,1,1
-70.7668319895258,-33.5095844333182,"773 CAMINO A RINCONADA, MAIPU",0,0,0,1,1
-70.767075653532,-33.5268593274293,"176 LOS DIAMANTES, MAIPU",0,0,0,1,1
-70.7668519411275,-33.515860639331,"HUASCAR & SAN JOSE, MAIPU",0,0,0,1,1
-70.7649712558522,-33.442282588075,"9176 SAN PABLO, PUDAHUEL",1,0,0,0,1
